attendance,internal,participation,assignment,quiz,midsem,risk
68,22,9,3,4,13,Medium
57,17,6,3,15,15,High
65,7,2,20,3,19,Medium
83,14,5,14,16,23,Low
73,18,4,7,1,5,Medium
49,10,7,3,11,30,High
75,7,8,15,0,5,Medium
53,20,1,20,11,34,Medium
70,11,5,3,11,14,High
87,24,3,15,11,28,Low
54,18,1,21,18,2,Medium
47,13,3,11,16,10,Medium
53,19,6,15,19,2,Medium
62,7,7,18,10,27,Low
99,6,8,7,12,9,High
96,6,4,5,7,32,Medium
79,7,3,9,9,15,High
60,22,5,4,7,9,Medium
55,18,9,17,19,32,Low
84,24,6,9,7,35,Low
57,22,9,9,8,2,High
86,14,6,6,6,4,Medium
92,6,2,17,13,11,Medium
63,5,5,0,1,12,High
65,8,9,6,10,23,Medium
64,18,8,20,7,31,Low
99,5,7,0,12,15,High
99,18,1,14,14,31,Low
99,20,4,3,2,36,Low
84,18,7,19,13,35,Low
80,24,7,9,14,20,Low
68,7,6,22,1,11,Medium
54,7,8,8,18,20,High
84,13,6,1,11,20,Low
40,10,3,13,19,5,High
64,17,4,15,3,8,Medium
46,6,3,0,2,0,High
48,12,1,1,4,11,High
63,6,5,6,2,13,High
40,8,1,9,14,5,High
83,19,1,21,18,0,Medium
47,8,2,19,1,21,Medium
63,17,4,0,11,33,Low
50,16,6,12,4,10,Medium
90,17,8,0,16,2,Medium
56,18,3,4,13,5,High
47,24,1,15,9,5,Medium
74,22,3,14,2,19,Low
74,10,3,16,3,20,Medium
72,15,5,22,5,1,Medium
98,6,4,15,15,25,Low
44,23,4,12,6,30,Medium
81,23,9,10,14,25,Low
78,9,7,16,19,31,Low
97,23,4,16,10,9,Low
80,6,3,1,0,22,Medium
67,14,6,12,4,5,Medium
46,6,3,13,12,22,Medium
48,15,6,10,13,27,Low
47,22,9,9,8,29,Medium
51,19,6,2,16,13,Medium
73,13,4,16,14,36,Low
72,23,5,14,6,31,Low
87,13,6,8,11,33,Low
94,7,3,9,5,21,High
62,13,8,7,15,30,Low
63,18,4,20,4,6,Low
76,23,8,12,8,20,Low
74,11,3,17,13,15,Medium
83,20,7,4,7,19,Medium
79,20,9,5,13,18,Low
61,5,4,16,11,31,Low
66,8,8,10,9,14,Medium
74,8,3,19,19,4,Medium
40,11,7,15,19,10,High
74,12,3,8,12,14,Medium
76,21,7,1,18,28,Low
86,9,6,4,14,3,High
53,11,2,0,7,35,High
42,24,3,3,9,22,Medium
40,24,6,3,2,14,High
44,8,4,21,2,2,High
65,10,6,24,4,31,Low
94,11,1,2,15,9,High
53,22,1,8,16,39,Medium
78,9,3,21,5,37,Medium
66,24,8,22,19,21,Low
48,7,8,11,19,13,High
54,11,4,9,15,16,High
54,18,6,1,1,20,Medium
65,11,8,10,19,14,Medium
81,9,7,9,14,14,Medium
99,9,7,21,17,0,Medium
52,6,4,5,0,23,High
90,10,9,17,18,11,Medium
71,19,6,1,11,9,Medium
78,14,3,1,7,30,Medium
88,11,5,9,5,10,High
91,9,5,15,11,15,Medium
71,5,5,11,6,8,Medium
43,17,8,0,17,13,High
69,22,9,20,13,18,Low
76,17,9,7,7,30,Low
62,22,6,15,19,8,Low
78,9,6,17,13,35,Low
84,17,9,12,4,38,Low
54,8,4,14,8,25,Medium
82,21,6,20,7,7,Medium
68,7,4,11,1,23,Low
75,21,1,7,15,7,Medium
52,15,7,9,12,18,Medium
71,24,6,13,6,29,Low
46,8,9,4,15,21,High
98,6,7,17,6,8,Medium
90,24,7,18,13,3,Low
61,20,2,14,13,36,Low
67,22,9,5,11,7,Medium
41,12,9,10,0,0,Medium
81,7,6,20,0,27,Low
84,13,3,10,11,5,Medium
96,24,1,19,19,35,Low
92,10,4,19,14,10,Medium
45,14,3,20,3,4,High
67,14,1,17,6,23,Low
67,17,3,24,15,17,Medium
83,21,4,17,2,19,Low
83,13,8,9,6,27,Low
59,21,9,1,5,12,High
69,13,3,8,15,4,Medium
50,13,6,13,7,29,Low
97,5,5,18,5,0,Medium
94,6,6,9,9,21,Medium
67,20,4,22,15,17,Low
64,5,6,3,10,4,Medium
78,14,7,5,12,30,Low
72,22,9,13,5,5,Medium
40,12,7,3,0,26,Medium
96,15,6,14,18,24,Low
66,6,1,15,11,28,Medium
96,12,2,6,5,27,Medium
91,12,1,16,17,15,Low
52,21,9,18,12,11,Medium
80,19,9,18,6,19,Low
42,21,7,16,12,17,Medium
78,17,2,5,7,33,Medium
45,23,6,10,16,22,Low
47,9,4,15,8,26,Medium
66,16,1,24,19,16,Medium
48,5,1,7,12,20,High
76,9,5,10,1,39,Medium
72,12,2,6,3,30,Medium
90,17,4,23,1,2,Medium
81,12,1,21,3,16,Medium
83,15,4,24,17,25,Low
63,5,6,18,4,22,Medium
54,17,4,9,18,5,High
98,23,1,8,9,27,Low
93,7,7,3,17,7,High
71,21,2,22,9,7,Medium
71,9,9,14,4,18,Low
63,24,3,12,16,37,Low
80,12,8,24,12,28,Low
91,18,8,1,16,22,Low
88,8,3,1,8,31,Medium
88,15,4,15,11,9,Low
97,24,2,8,13,26,Medium
91,19,4,12,13,0,Low
51,23,9,2,7,38,Medium
78,11,2,8,4,28,High
41,23,3,12,18,2,Medium
42,23,4,20,13,36,Low
88,15,5,21,8,30,Low
76,9,1,1,6,10,High
88,9,7,7,7,21,Medium
95,12,7,8,13,17,Medium
56,14,9,15,13,34,Low
98,10,4,1,10,5,Medium
88,19,6,5,13,2,Medium
41,20,2,21,7,4,High
41,21,4,7,2,8,High
67,12,2,4,17,27,Medium
93,12,5,8,2,18,Low
62,13,7,0,12,27,Low
76,6,1,8,11,26,Medium
71,19,7,9,14,12,Medium
72,22,6,22,17,37,Low
40,7,6,3,4,20,High
58,21,8,2,6,26,Medium
41,8,8,9,10,5,High
92,8,6,14,10,37,Low
83,18,3,10,14,10,Medium
65,13,5,13,9,16,Low
71,13,2,5,14,38,Low
45,22,5,11,12,6,Medium
71,14,9,12,13,29,Low
94,8,1,16,16,20,Medium
43,16,5,15,12,0,Medium
94,12,6,2,9,24,Low
50,6,7,1,0,31,High
95,17,9,10,0,7,Medium
98,20,6,8,14,4,Medium
56,6,5,2,15,29,Medium
77,15,7,17,11,7,Low
63,14,1,19,5,18,Low
44,19,5,14,5,29,Low
91,21,2,13,11,14,Low
73,12,4,1,14,35,Low
45,22,7,16,3,26,Low
61,13,5,21,3,12,Low
50,12,6,7,1,13,High
87,18,2,9,11,36,Medium
55,22,3,17,6,29,Medium
72,24,7,24,19,38,Low
48,24,2,18,8,12,Medium
99,16,6,7,8,15,Medium
98,23,5,7,7,6,Medium
45,18,1,2,13,26,Medium
55,21,4,2,0,34,Medium
68,7,2,11,11,14,Medium
42,11,4,21,1,27,Medium
59,21,1,16,12,34,Medium
99,16,2,3,3,6,High
98,13,8,16,19,19,Low
75,19,6,13,17,31,Low
58,22,2,18,18,37,Low
65,17,6,8,15,39,Low
42,12,9,20,13,31,Low
58,18,7,11,7,25,Low
59,12,9,4,11,38,Medium
71,18,5,10,8,19,Low
46,11,7,19,5,17,High
91,16,7,2,17,14,Medium
80,15,3,20,1,21,Low
72,15,7,14,7,21,Low
79,17,1,13,13,20,Low
78,22,9,10,5,1,Low
57,6,6,19,9,39,Medium
79,19,5,7,7,17,Medium
40,24,7,3,16,22,Medium
50,22,5,11,11,12,Medium
67,19,5,7,16,8,Medium
96,23,7,5,12,6,Medium
64,16,7,14,18,0,Low
89,17,3,11,11,1,Low
62,15,3,15,15,3,Low
70,9,3,15,4,13,Medium
69,5,6,20,15,31,Low
81,7,6,19,5,35,Medium
74,23,3,19,10,1,Low
46,11,3,3,16,39,High
99,16,8,10,13,13,Low
55,19,8,12,5,19,Medium
65,9,7,8,10,24,Medium
87,19,4,3,11,7,Medium
96,12,4,11,12,27,Low
91,14,3,8,3,20,Medium
99,20,5,12,6,22,Low
88,12,3,15,1,31,Low
41,5,8,5,5,7,High
40,16,7,9,5,30,Medium
87,9,3,12,17,36,Low
51,7,9,6,19,15,High
44,5,5,18,7,39,Medium
76,8,9,23,7,26,Medium
71,12,7,18,7,39,Low
98,7,7,16,7,17,Medium
94,14,6,12,0,34,Low
48,6,2,12,1,14,High
80,15,9,20,11,26,Low
74,14,6,1,14,16,Medium
58,18,8,9,3,39,Medium
87,11,1,21,2,1,Medium
55,6,5,12,13,30,Medium
42,13,1,8,7,36,Medium
59,20,8,0,12,33,Medium
63,17,8,13,18,33,Low
93,13,1,15,4,2,Medium
95,24,9,19,12,16,Low
72,8,2,14,19,13,Medium
63,14,9,0,0,13,Medium
91,16,1,16,15,37,Low
50,21,9,23,1,34,Medium
88,18,4,12,6,0,Medium
47,18,9,14,5,28,Medium
75,6,7,15,4,3,Medium
77,24,6,15,3,32,Low
79,15,5,1,1,16,Medium
59,20,9,16,9,27,Low
74,23,2,10,4,25,Low
87,10,2,7,17,7,High
64,23,9,19,9,33,Low
74,9,3,2,14,17,High
64,8,8,11,8,30,Low
68,19,9,19,10,26,Low
57,8,8,15,16,15,High
85,24,4,13,8,9,Low
57,14,1,15,15,39,Low
41,7,4,20,5,11,High
93,9,9,16,10,21,Low
74,10,2,10,16,15,Medium
55,12,3,16,3,11,High
80,11,8,18,14,10,Medium
75,14,6,21,0,19,Low
72,10,8,0,19,0,Medium
43,18,7,11,0,26,Medium
72,8,5,14,8,2,Medium
53,17,9,17,11,11,Medium
60,24,4,22,3,29,Low
87,21,6,13,12,8,Low
59,11,2,0,6,36,High
95,8,2,12,7,0,Medium
47,18,2,14,12,3,Medium
46,7,7,6,10,14,High
42,9,2,14,8,26,Medium
56,20,2,19,15,7,Medium
72,24,9,9,9,22,Low
87,8,7,13,10,14,Medium
51,6,3,5,11,26,High
98,22,3,13,13,30,Low
90,23,7,23,18,38,Low
61,23,5,24,11,7,Low
94,21,6,21,17,29,Low
61,18,8,11,16,17,Low
85,23,9,10,2,3,Medium
69,17,1,24,0,21,Low
77,16,3,19,18,2,Medium
77,10,7,21,3,14,Medium
84,8,6,23,15,34,Low
90,23,7,24,11,37,Low
93,20,8,18,12,32,Low
47,17,6,1,16,13,High
66,8,3,21,7,0,High
66,21,2,19,12,25,Low
73,5,7,0,19,7,High
60,22,1,7,4,15,Medium
69,24,3,24,17,37,Low
72,21,4,13,14,9,Low
67,19,1,8,11,36,Low
86,15,5,1,16,25,Low
72,17,3,24,14,27,Low
44,5,2,22,1,11,High
99,21,3,4,5,19,Medium
87,10,8,22,16,13,Medium
58,8,6,24,15,34,Medium
43,24,7,7,16,28,Medium
74,20,6,15,19,11,Low
88,19,6,21,8,17,Low
56,19,3,15,4,1,High
83,10,8,12,0,1,Medium
67,19,7,19,5,16,Low
69,18,7,14,13,9,Low
68,15,6,0,16,17,Medium
85,11,5,21,18,21,Low
92,13,8,2,0,18,Low
45,20,5,5,0,0,High
74,9,9,21,12,23,Low
99,24,9,13,13,35,Low
80,14,1,3,5,24,Medium
76,22,6,17,5,35,Low
63,7,7,14,0,30,Medium
68,17,3,8,13,30,Medium
88,15,7,17,2,1,Low
85,21,7,2,9,18,Low
92,17,2,9,18,11,Medium
70,10,7,16,18,9,Medium
74,21,1,6,18,30,Low
99,17,5,14,3,21,Low
72,23,9,0,19,22,Low
91,23,7,24,18,22,Low
60,14,7,10,9,14,Low
71,7,2,16,1,25,Medium
62,18,8,4,3,2,Medium
72,23,3,6,5,22,Medium
42,9,8,18,6,19,Medium
57,9,3,24,15,39,Medium
64,24,7,23,6,38,Low
81,21,2,14,17,7,Medium
70,14,4,2,19,17,Medium
93,9,6,14,18,5,Medium
97,8,9,4,8,26,Medium
42,10,5,22,19,35,Medium
79,8,9,11,9,14,Medium
85,11,5,19,12,36,Low
63,11,8,4,17,4,High
89,22,1,2,15,38,Medium
71,7,7,8,16,8,Medium
86,5,4,8,12,6,High
61,8,5,6,11,19,Medium
62,10,6,1,9,9,Medium
41,13,5,22,0,25,Medium
66,18,1,22,7,3,Medium
81,16,9,20,17,37,Low
41,24,2,15,1,23,Medium
65,8,9,8,15,13,High
56,16,2,12,11,0,Medium
79,14,9,18,8,16,Low
72,11,6,19,2,23,Low
48,7,9,16,3,26,Medium
82,18,6,5,1,6,Medium
93,14,6,3,7,8,Medium
87,20,2,0,9,34,Medium
78,20,8,17,15,11,Low
68,14,3,18,10,20,Low
81,17,7,8,17,2,Medium
94,10,5,12,13,14,Medium
65,16,3,7,7,20,Medium
74,13,1,22,14,9,Medium
89,17,8,12,16,32,Low
64,8,3,14,17,5,Medium
63,15,2,10,5,1,Medium
52,24,1,11,13,28,Low
99,22,4,13,2,39,Low
97,15,8,3,6,32,Low
46,8,3,0,14,3,High
96,22,1,23,15,3,Low
75,5,4,3,15,28,Medium
84,11,9,18,7,36,Low
59,10,1,8,6,19,High
40,19,2,9,5,22,High
47,22,9,3,1,17,High
85,15,2,19,12,24,Low
55,24,3,8,11,0,High
53,19,7,12,14,14,Medium
51,20,3,11,8,33,Medium
90,11,9,10,1,19,Medium
62,14,6,11,16,36,Low
54,16,3,17,4,26,Medium
67,18,9,11,10,21,Low
73,9,1,15,18,4,Medium
41,22,3,4,6,33,Medium
71,9,1,19,1,38,Medium
62,7,2,24,15,2,Medium
61,9,8,11,11,16,Medium
90,21,7,20,14,23,Low
64,23,2,24,0,23,Low
97,23,2,10,12,2,Low
61,16,9,8,5,6,Medium
97,13,6,17,12,24,Low
97,5,5,24,17,2,Medium
61,22,6,2,2,14,Medium
88,8,9,19,0,28,Medium
91,14,7,16,14,28,Low
81,11,9,13,12,9,Medium
45,5,4,0,4,31,High
54,21,2,16,12,22,Low
93,6,8,24,4,38,Low
82,15,4,7,18,8,Medium
99,13,9,4,17,36,Low
76,11,4,4,9,39,Medium
72,21,8,8,7,13,Medium
47,21,9,2,14,3,High
92,6,9,18,19,19,Low
99,10,4,22,3,27,Low
83,18,1,8,1,13,High
83,10,3,21,5,33,Medium
44,6,9,17,2,12,High
78,5,4,15,6,30,Medium
43,14,5,0,9,32,Medium
45,9,7,1,5,38,High
84,6,5,13,15,27,Low
71,20,4,13,1,24,Low
91,6,2,0,16,31,Medium
69,14,2,24,12,8,Medium
86,6,4,15,0,27,Medium
74,20,9,14,5,30,Low
94,20,8,14,4,16,Low
79,23,3,11,12,22,Low
91,11,9,15,17,12,Medium
55,16,5,13,11,9,Medium
52,19,3,23,6,15,High
89,12,5,14,14,5,Low
99,10,4,22,2,10,Medium
81,14,8,14,15,2,Low
69,7,5,18,0,27,Medium
58,23,8,7,15,14,Medium
56,21,9,1,11,12,High
95,11,4,1,18,16,Medium
58,24,7,9,7,6,High
67,8,2,2,11,27,Medium
97,18,6,22,14,37,Low
94,24,8,16,1,12,Low
65,19,7,7,16,16,Medium
76,12,7,22,6,14,Medium
65,19,8,3,12,35,Low
92,24,7,13,0,27,Low
62,18,5,20,5,14,Medium
48,13,7,9,12,10,High
51,12,3,0,10,30,Medium
92,21,5,3,9,3,Medium
40,6,7,0,15,34,High
97,7,9,16,19,33,Low
97,12,2,16,16,26,Low
40,16,4,6,16,9,Medium
86,5,7,22,3,29,Low
73,14,1,19,4,19,Low
71,24,2,14,13,28,Low
93,7,9,12,19,28,Low
87,10,7,1,9,22,Medium
64,11,7,18,13,20,Low
79,24,6,23,0,9,Medium
84,22,3,12,10,11,Medium
92,15,3,23,17,29,Low
40,23,2,10,15,32,Medium
55,9,6,21,17,17,High
78,23,4,14,7,13,Low
44,15,5,9,9,21,Medium
61,16,3,8,9,20,Low
68,14,6,8,4,0,Medium
94,12,3,19,9,14,Medium
42,13,8,0,17,35,Medium
51,8,9,16,5,21,Medium
65,9,4,11,2,31,Medium
55,12,9,9,7,32,Medium
90,13,7,4,8,38,Low
76,19,3,17,4,22,Low
61,19,7,14,1,1,Low
96,20,1,5,1,1,Medium
68,18,3,6,6,37,Medium
53,12,6,16,16,28,Low
67,22,4,5,9,2,Medium
44,14,7,7,11,38,Medium
86,24,3,11,1,6,Medium
88,10,1,20,9,35,Medium
69,16,9,13,19,28,Low
85,6,6,11,0,36,Medium
91,11,8,22,3,35,Medium
44,20,3,9,12,22,Medium
51,7,8,21,11,15,High
55,17,2,19,10,30,Medium
65,7,4,14,9,33,Low
65,22,3,6,14,0,Medium
87,15,1,8,4,17,High
60,12,7,9,16,39,Low
78,10,2,9,4,14,High
75,5,4,15,1,16,Medium
72,5,9,6,8,9,Medium
69,12,6,4,5,19,Medium
76,9,8,22,17,5,Medium
62,20,2,2,13,7,Medium
97,15,7,17,18,33,Low
49,9,6,10,13,31,Medium
93,8,9,14,7,3,Medium
44,10,7,20,16,38,Medium
75,18,1,19,2,19,Low
73,23,8,4,9,23,Low
91,13,3,23,16,23,Low
70,16,2,11,10,25,Low
49,15,3,3,7,24,High
97,18,6,14,0,35,Low
58,20,3,8,12,6,High
97,5,5,6,3,9,High
71,17,6,9,6,11,Medium
40,17,8,22,13,0,Medium
95,6,7,12,4,24,Low
44,8,8,7,10,15,High
84,10,3,11,16,4,Medium
43,9,4,21,4,18,Medium
55,7,6,23,19,3,Medium
63,5,7,18,2,5,Medium
55,8,9,0,4,25,High
94,24,1,15,14,38,Low
41,6,8,21,18,38,Medium
88,9,8,16,15,8,Medium
67,7,6,24,7,13,Medium
71,13,4,17,12,8,Low
66,24,3,10,15,14,Medium
59,10,3,17,2,36,High
63,22,6,6,0,19,Low
51,10,8,17,8,7,High
89,23,7,7,8,31,Low
74,16,1,5,16,20,Low
99,15,6,6,1,18,Low
72,6,7,22,8,28,Low
72,19,7,21,18,30,Low
90,16,9,9,12,5,Medium
82,16,5,10,4,3,Medium
76,13,1,24,8,28,Low
51,6,2,12,12,2,High
42,7,4,8,0,0,High
40,16,5,6,14,14,Medium
72,20,9,8,3,20,Low
79,5,1,12,3,30,Medium
49,7,3,2,19,6,High
82,24,5,2,9,16,Medium
83,6,3,0,5,18,High
68,13,4,20,11,38,Low
52,23,3,19,19,2,Medium
51,19,4,1,15,29,Medium
70,22,1,24,2,34,Low
85,15,8,2,13,28,Low
41,20,4,14,0,13,Medium
90,21,7,23,9,34,Low
89,9,2,5,14,27,Medium
74,16,2,12,6,29,Low
62,15,6,20,3,25,Low
56,19,2,0,13,6,High
65,7,6,19,15,38,Low
47,5,2,18,13,30,Medium
68,24,4,0,2,4,Medium
65,20,7,20,16,34,Low
49,6,8,21,13,13,Medium
65,6,3,1,17,35,Medium
73,7,9,14,2,26,Low
90,12,2,13,18,23,Low
80,19,8,18,2,39,Low
46,11,8,10,11,28,Medium
43,10,4,14,4,21,Medium
97,13,1,5,9,7,Medium
92,24,1,19,8,14,Low
89,5,2,8,0,4,High
84,12,9,4,12,3,Medium
50,7,2,19,2,10,High
68,8,2,1,18,17,High
95,19,6,5,10,29,Low
75,10,7,17,15,14,Medium
64,19,7,22,5,5,Medium
60,7,9,18,2,15,Medium
96,18,6,8,18,39,Low
75,24,8,20,5,8,Low
49,18,6,23,7,33,Medium
76,8,2,5,12,26,Medium
48,16,1,13,11,12,Medium
63,21,5,23,9,35,Low
74,11,9,12,2,26,Medium
88,13,8,10,3,8,Medium
74,7,4,11,0,4,Medium
87,17,5,18,12,21,Low
75,19,5,18,3,30,Low
57,22,6,20,10,2,Medium
88,23,3,18,18,29,Low
78,5,5,23,10,20,Low
71,10,2,12,11,34,Low
63,6,1,13,10,5,Medium
62,18,1,23,5,27,Low
71,10,7,17,11,31,Low
76,18,2,11,8,36,Low
51,8,4,3,9,24,Medium
88,12,5,9,2,31,Low
94,7,7,16,2,34,Medium
52,23,2,3,19,21,Medium
62,18,6,11,15,23,Low
64,24,1,12,2,38,Low
74,21,7,3,9,29,Low
80,12,9,9,10,31,Low
69,18,5,24,7,30,Low
56,10,5,2,5,22,High
88,20,4,14,19,39,Low
59,23,3,1,10,32,Medium
87,18,9,24,11,24,Low
64,23,5,24,15,35,Low
61,7,8,16,17,23,Low
52,14,9,5,12,30,Medium
98,23,5,7,2,38,Medium
58,13,9,2,14,12,Medium
88,24,2,24,13,9,Medium
75,17,9,17,17,22,Low
51,11,4,21,13,17,Medium
80,18,6,0,4,31,Medium
58,13,6,15,13,32,Low
51,23,6,6,7,35,Medium
48,19,2,2,14,27,Medium
46,24,7,22,14,15,Medium
67,18,6,3,18,15,Medium
53,10,1,8,19,17,High
70,8,2,4,5,7,High
91,12,7,18,18,15,Low
58,21,1,14,7,10,Medium
97,13,1,7,5,5,Medium
86,5,1,5,19,0,High
55,24,8,17,14,11,Medium
92,18,4,18,2,37,Low
44,15,4,23,9,27,Low
74,7,2,14,14,16,Medium
51,13,1,6,15,0,High
64,18,9,9,16,31,Low
91,13,7,5,18,7,Medium
98,8,4,13,10,39,Low
60,8,6,16,15,23,Low
75,12,2,8,4,9,Medium
92,6,7,18,4,38,Medium
62,13,2,4,13,38,Low
55,18,8,22,17,9,Medium
96,13,8,6,7,35,Medium
78,20,1,18,4,24,Low
84,21,8,19,6,9,Low
92,20,2,6,15,18,Medium
81,16,6,23,13,14,Low
97,7,1,1,4,15,High
78,15,5,24,8,1,Low
53,18,7,22,3,28,Low
70,22,1,15,3,3,Medium
97,9,2,12,15,28,Medium
44,20,7,7,16,30,Medium
74,24,6,5,14,16,Medium
62,9,3,5,3,9,High
68,7,2,8,5,26,High
82,16,4,3,15,14,Medium
50,5,3,10,3,30,Medium
57,13,7,4,5,20,Medium
86,13,8,24,4,25,Low
51,8,2,16,15,37,Medium
48,7,7,19,15,35,Medium
49,21,8,6,9,16,Medium
97,6,6,14,8,2,Medium
83,5,6,24,3,13,Medium
56,12,1,14,13,12,Medium
77,17,4,13,3,26,Low
46,19,1,12,11,0,Medium
85,12,4,10,9,16,Low
52,16,2,12,3,33,Medium
79,16,5,21,17,13,Low
81,18,9,23,12,16,Low
48,19,3,8,12,2,High
89,19,8,9,13,33,Low
66,13,3,3,17,39,Low
97,23,6,16,0,24,Low
41,24,4,13,15,1,Medium
44,12,8,23,14,33,Low
68,23,6,17,4,25,Low
76,10,8,10,5,30,Low
77,24,1,15,5,8,Medium
58,23,6,0,2,29,Medium
47,8,1,6,15,19,High
87,11,1,9,11,20,Medium
84,8,8,8,3,28,Medium
40,16,7,24,0,24,Low
61,17,3,2,3,37,Medium
91,7,6,21,0,24,Medium
56,16,9,22,7,8,Medium
46,6,7,13,4,38,Medium
64,6,3,24,1,25,Medium
84,13,6,14,11,36,Low
43,5,4,1,16,15,High
75,12,3,23,6,36,Low
45,10,9,13,10,11,Medium
99,10,2,15,3,23,Medium
70,22,1,6,4,25,Medium
58,21,2,3,5,19,Medium
83,16,7,17,10,8,Low
93,10,1,23,0,22,Medium
78,12,6,4,9,38,Low
66,23,7,5,19,28,Low
49,14,9,6,10,30,Medium
65,5,8,14,16,18,Low
58,17,6,0,7,19,Medium
78,21,3,23,12,22,Low
42,7,8,3,19,26,High
84,12,7,24,17,29,Low
52,18,3,0,15,20,Medium
89,7,9,10,1,34,Low
67,20,2,17,4,6,Medium
97,17,3,13,17,21,Low
59,24,2,21,2,9,Medium
67,21,1,10,16,22,Low
47,17,4,9,15,14,Medium
80,10,5,16,5,29,Medium
78,21,6,3,18,33,Low
40,18,5,23,6,12,Medium
42,21,1,14,17,3,Medium
52,12,3,15,13,17,Medium
67,15,1,20,5,22,Low
96,24,5,12,7,32,Low
99,5,5,8,14,33,Medium
88,11,6,10,14,33,Low
64,21,8,10,14,35,Low
95,14,1,5,15,34,Medium
72,15,4,0,0,16,Medium
77,13,1,21,10,27,Low
92,13,9,5,4,13,Medium
45,9,7,12,4,33,Medium
97,21,7,21,5,10,Low
83,13,5,23,1,12,Medium
84,21,7,21,5,32,Low
71,23,2,4,13,1,Medium
84,11,4,14,10,33,Low
86,13,7,17,3,28,Low
60,11,3,19,8,36,Medium
55,17,2,13,2,3,High
93,15,2,14,15,11,Low
60,18,1,4,10,25,Low
50,23,5,3,3,27,Medium
99,15,6,1,0,2,Medium
76,17,6,6,15,19,Low
75,18,9,9,18,9,Medium
74,17,4,15,15,17,Low
58,5,1,9,10,26,High
59,12,6,17,7,30,Low
96,16,5,16,0,26,Low
57,23,6,20,8,0,Medium
86,16,3,12,11,5,Medium
80,12,2,0,7,10,Medium
88,12,6,0,16,33,Low
53,17,1,14,9,38,Low
54,16,7,0,6,19,Medium
70,20,7,5,18,20,Low
40,5,7,24,5,20,Medium
92,17,1,12,18,17,Low
93,11,4,0,17,20,Medium
93,9,7,4,14,18,Medium
42,12,9,8,1,3,High
55,18,5,24,13,12,Medium
62,17,2,16,9,17,Medium
96,19,7,15,15,28,Low
50,21,1,7,6,24,High
51,19,7,16,7,12,Medium
49,24,6,14,9,26,Low
71,22,7,23,14,18,Low
55,22,3,0,7,0,High
47,6,3,11,12,37,Medium
77,8,7,4,11,18,Medium
51,5,2,23,7,0,High
63,8,1,5,14,39,Medium
67,22,9,24,11,16,Low
92,9,9,0,10,20,Medium
47,23,7,24,18,21,Low
97,19,7,0,13,14,Medium
67,12,3,9,17,38,Low
75,24,2,9,12,38,Medium
65,21,7,2,3,31,Medium
47,5,9,16,16,3,High
97,16,1,18,18,31,Low
99,23,4,10,8,3,Low
